,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10010,1.87E-02,6.03E-03,4.61E-02,4.15E-02,1.39E-02,1.37E-02,4.35E-07,2.11E-07,1.06E-07,2.26E-06,3.18E-08,1.38E-07,5.83E-09,5.38E-10,1.46E-06,3.50E-07,9.12E-08,2.92E-10,1.23E-08,2.58E-11,9.06E-08,1.43E-06,9.39E-08,1.08E-07,1.73E-07,1.93E-08,1.85E-11,1.28E-11,3.27E-14,1.19E-12,1.86E-11,2.18E-11
1010,3.67E-03,2.91E-02,6.73E-02,6.53E-02,3.05E-02,2.66E-03,3.09E-06,2.05E-07,4.04E-08,7.63E-11,1.40E-08,6.33E-06,9.42E-07,3.06E-09,2.91E-07,1.21E-07,2.55E-08,1.94E-10,3.54E-08,9.16E-12,1.13E-08,1.30E-05,1.79E-07,1.57E-08,7.96E-08,8.08E-08,3.14E-11,1.23E-12,3.31E-12,7.59E-13,8.11E-12,8.82E-11
11010,1.09E-02,3.71E-02,8.98E-03,2.03E-02,5.79E-02,9.45E-03,2.37E-06,1.77E-07,1.30E-08,8.36E-07,5.26E-08,6.26E-07,1.67E-08,8.05E-09,1.78E-06,6.38E-08,6.60E-08,9.85E-09,6.56E-08,1.25E-14,5.22E-08,2.73E-06,4.37E-09,1.11E-07,8.78E-08,1.02E-07,7.33E-14,5.40E-12,2.83E-12,4.11E-12,3.99E-12,2.41E-11
110,6.46E-05,3.60E-05,6.05E-05,4.02E-04,3.35E-05,6.92E-05,1.65E-05,3.30E-05,1.21E-05,7.87E-05,2.63E-06,2.14E-04,1.20E-05,2.36E-08,1.05E-05,2.33E-08,9.71E-07,6.05E-06,2.96E-06,9.66E-08,3.85E-06,1.06E-05,2.51E-05,3.15E-06,3.27E-05,8.15E-07,6.22E-10,4.71E-09,1.46E-10,7.52E-10,2.42E-10,6.15E-09
10110,1.45E-02,1.25E-02,2.34E-02,7.72E-02,4.04E-03,1.92E-02,2.78E-07,2.49E-07,8.60E-08,1.09E-06,4.64E-08,9.81E-07,2.29E-08,2.38E-13,3.51E-07,6.61E-08,2.87E-07,1.24E-10,3.86E-08,3.48E-11,8.15E-08,1.80E-07,1.37E-07,1.59E-07,1.99E-07,2.70E-08,4.18E-12,4.73E-11,1.30E-12,2.76E-14,1.87E-12,7.69E-11
1110,2.12E-05,9.52E-05,2.37E-04,3.44E-04,1.30E-04,4.10E-06,3.29E-05,3.00E-05,1.09E-06,6.64E-05,4.02E-06,7.84E-05,8.90E-06,5.15E-06,2.45E-06,1.60E-06,5.90E-06,2.72E-05,9.67E-07,1.05E-09,2.74E-06,1.29E-04,7.06E-06,7.66E-06,5.58E-05,2.63E-06,2.38E-10,3.75E-09,8.92E-10,1.11E-11,7.25E-10,8.33E-09
11110,1.66E-04,1.96E-05,3.87E-06,9.94E-05,1.41E-04,2.40E-04,1.42E-05,5.73E-06,6.36E-07,3.94E-05,9.63E-06,2.94E-05,3.09E-08,1.46E-06,1.22E-05,8.53E-06,1.19E-05,3.21E-05,1.53E-06,2.59E-09,3.56E-05,7.65E-05,3.37E-06,1.03E-05,2.96E-05,2.44E-06,2.73E-11,1.05E-09,7.33E-10,9.34E-10,1.72E-09,5.22E-09
1,7.62E-08,2.95E-07,8.33E-07,1.62E-06,7.89E-07,4.67E-08,1.91E-06,6.98E-08,5.48E-08,3.40E-07,6.38E-08,8.77E-07,5.07E-08,2.60E-08,3.32E-08,4.77E-08,5.26E-08,5.91E-07,7.49E-09,1.50E-12,7.35E-08,1.26E-06,1.09E-07,5.24E-08,2.54E-07,1.30E-07,3.98E-07,7.11E-07,8.37E-09,1.02E-07,6.89E-07,3.03E-07
10001,1.57E-05,9.45E-05,1.52E-04,4.94E-04,1.52E-04,1.53E-05,4.57E-05,3.65E-05,2.99E-06,1.24E-04,8.85E-07,1.15E-04,3.26E-06,3.89E-06,1.28E-05,3.62E-06,3.41E-06,3.64E-05,2.45E-10,4.51E-09,8.06E-06,2.90E-04,1.21E-06,4.65E-06,4.39E-05,1.87E-06,1.58E-09,2.72E-09,4.01E-11,4.27E-10,2.65E-09,1.27E-09
1001,2.97E-07,1.36E-06,5.66E-06,2.68E-06,2.69E-06,1.02E-07,1.62E-04,6.42E-06,2.21E-08,2.51E-04,2.25E-06,9.56E-05,7.75E-06,1.45E-06,3.05E-05,8.76E-07,5.16E-06,1.35E-05,3.14E-06,1.82E-09,1.81E-07,4.83E-04,2.10E-06,7.39E-06,1.21E-05,5.80E-06,1.40E-09,3.86E-09,5.66E-12,4.12E-10,2.39E-09,1.98E-09
11001,1.44E-06,5.89E-08,6.60E-06,1.44E-05,2.44E-07,1.95E-06,1.85E-04,4.55E-05,8.08E-08,2.12E-07,1.30E-08,4.77E-05,6.67E-05,2.50E-08,6.80E-06,4.06E-05,3.36E-06,1.85E-07,2.57E-07,6.49E-08,1.60E-07,1.36E-06,1.87E-07,1.15E-09,6.55E-05,9.03E-06,3.05E-11,9.35E-12,1.60E-11,3.94E-11,2.45E-12,1.63E-10
101,8.96E-06,1.05E-04,1.85E-04,3.92E-04,1.27E-04,2.39E-05,2.65E-05,1.36E-05,2.81E-06,4.25E-05,1.92E-06,2.47E-04,2.94E-05,1.42E-07,5.09E-05,1.20E-05,1.33E-05,2.12E-06,8.84E-06,3.09E-11,2.33E-06,3.84E-04,9.06E-06,5.30E-06,1.02E-05,1.35E-06,5.63E-09,8.21E-11,3.96E-11,8.33E-11,3.58E-09,1.13E-08
10101,2.18E-03,2.60E-02,4.51E-02,9.67E-02,3.09E-02,5.89E-03,2.76E-06,1.44E-07,8.57E-08,4.81E-08,1.13E-08,5.21E-06,7.39E-07,1.34E-10,7.04E-07,2.41E-08,8.03E-08,1.39E-08,8.44E-09,1.79E-11,1.78E-08,1.96E-05,4.88E-08,7.53E-11,1.44E-07,9.68E-08,2.75E-11,9.74E-12,2.36E-12,1.84E-12,1.99E-12,1.12E-10
1101,2.00E-07,1.18E-06,4.19E-06,4.74E-06,2.67E-06,3.11E-07,1.31E-04,8.48E-06,2.21E-08,1.75E-04,2.81E-07,1.27E-04,2.85E-05,7.00E-07,8.59E-05,7.37E-06,9.03E-07,1.99E-05,7.91E-07,3.23E-09,1.68E-06,2.08E-04,1.37E-06,1.53E-05,5.42E-06,7.38E-06,7.77E-11,4.82E-09,8.55E-10,1.04E-12,4.71E-10,9.00E-09
